"region","age","2016"
"1214 Svalöv","18-29 years",324.6
"1214 Svalöv","30-49 years",494.9
"1214 Svalöv","50-64 years",491.2
"1230 Staffanstorp","18-29 years",400.0
"1230 Staffanstorp","30-49 years",611.9
"1230 Staffanstorp","50-64 years",633.0
"1231 Burlöv","18-29 years",365.7
"1231 Burlöv","30-49 years",496.0
"1231 Burlöv","50-64 years",481.0
"1233 Vellinge","18-29 years",422.3
"1233 Vellinge","30-49 years",766.1
"1233 Vellinge","50-64 years",849.5
"1256 Östra Göinge","18-29 years",302.0
"1256 Östra Göinge","30-49 years",460.0
"1256 Östra Göinge","50-64 years",479.7
"1257 Örkelljunga","18-29 years",337.2
"1257 Örkelljunga","30-49 years",436.4
"1257 Örkelljunga","50-64 years",461.4
"1260 Bjuv","18-29 years",367.8
"1260 Bjuv","30-49 years",462.2
"1260 Bjuv","50-64 years",455.6
"1261 Kävlinge","18-29 years",395.5
"1261 Kävlinge","30-49 years",619.7
"1261 Kävlinge","50-64 years",629.4
"1262 Lomma","18-29 years",373.0
"1262 Lomma","30-49 years",788.4
"1262 Lomma","50-64 years",807.8
"1263 Svedala","18-29 years",379.9
"1263 Svedala","30-49 years",570.8
"1263 Svedala","50-64 years",570.2
"1264 Skurup","18-29 years",349.3
"1264 Skurup","30-49 years",506.4
"1264 Skurup","50-64 years",528.1
"1265 Sjöbo","18-29 years",380.4
"1265 Sjöbo","30-49 years",487.4
"1265 Sjöbo","50-64 years",474.2
"1266 Hörby","18-29 years",344.3
"1266 Hörby","30-49 years",474.9
"1266 Hörby","50-64 years",465.0
"1267 Höör","18-29 years",367.0
"1267 Höör","30-49 years",520.3
"1267 Höör","50-64 years",528.0
"1270 Tomelilla","18-29 years",346.9
"1270 Tomelilla","30-49 years",460.6
"1270 Tomelilla","50-64 years",471.0
"1272 Bromölla","18-29 years",331.1
"1272 Bromölla","30-49 years",478.5
"1272 Bromölla","50-64 years",478.8
"1273 Osby","18-29 years",317.3
"1273 Osby","30-49 years",466.1
"1273 Osby","50-64 years",489.5
"1275 Perstorp","18-29 years",302.1
"1275 Perstorp","30-49 years",427.1
"1275 Perstorp","50-64 years",442.5
"1276 Klippan","18-29 years",327.7
"1276 Klippan","30-49 years",454.7
"1276 Klippan","50-64 years",448.1
"1277 Åstorp","18-29 years",351.2
"1277 Åstorp","30-49 years",483.1
"1277 Åstorp","50-64 years",456.7
"1278 Båstad","18-29 years",355.8
"1278 Båstad","30-49 years",546.6
"1278 Båstad","50-64 years",607.2
"1280 Malmö","18-29 years",303.8
"1280 Malmö","30-49 years",436.8
"1280 Malmö","50-64 years",486.4
"1281 Lund","18-29 years",225.0
"1281 Lund","30-49 years",529.6
"1281 Lund","50-64 years",623.6
"1282 Landskrona","18-29 years",317.9
"1282 Landskrona","30-49 years",454.9
